location,sublocation,rhtc_rhdc,plot no,nearest town,status,constituency,blood tr,off_landline,off_fax,off_postcode,fp,off_mob,outp,off_town,anc,imci,off_email,tb_treat,growth,ceoc,division,tb_labs,district,inp,off_pobox,facility,cots,province,in charge name,art,beoc,hbc,tb_diag,hct,c section,imm,beds,mflcode,pmtct,radiology,owner,type,youth,latitude,longitude
Ndarugu,Munyu-Ini,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,Y,0722-359490,Y,,Y,,,,Y,,Gatundu South,,Gatundu,,,Ituramiro Medical Clinic,,Central,M/S Lilian Kiarie,,Y,,,Y,,Y,,10363,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Mangu,Mangu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,0733-439050,Y,,Y,,,,Y,,Kamwangi,,Gatundu,,,Jamii Medical Clinic (Gatundu),,Central,Michael,,Y,,,Y,,Y,,10370,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Kiganjo,Mundoro,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,,,Y,,,,,,,,Gatundu South,,Gatundu,,,Kabuteti (AIC) Medical Clinic,,Central,,,,,,,,,,10392,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Chania,Kairi,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,,Y,,,,,,Y,,Kamwangi,,Gatundu,,,Kairi Medical Clinic,,Central,,,Y,,,,,y,,10430,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Mangu,Mangu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,0720-482716,Y,,Y,,,,Y,,Kamwangi,,Gatundu,,,Kamwangi Health Services,,Central,Timothy M,,Y,,,,,Y,,10456,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ndarugu,Karatu,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,y,0721-273362,Y,,y,,,y,y,,Gatundu South,,Gatundu,y,,Karatu Health Centre,6,Central,Mr Mwega,y,y,,,y,,y,24,10489,y,,Ministry of Health,Health Centre,,,
Ndarugu,Karinga,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,,,Y,,,,,,Y,,Gatundu South,,Gatundu,,,Karinga Mission,,Central,F Kamuyu,,Y,,,Y,,Y,,10497,,,Other Faith Based,Medical Clinic - Nurse/ Midwife,,,
Mangu,Karuri,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,0723-775419,Y,,,,,,,,Kamwangi,,Gatundu,,,Karure Medical Clinic,,Central,M/S Ruth Njeri,,,,,,,,,10508,,,Private Medical Enterprise,Medical Clinic - Clinical officer,,,
Chania,Kieni,,,Gatundutown,Operational,GATUNDU NORTH,,,,10100,,0723-924968,Y,,y,,,,y,,Kamwangi,,Gatundu,,,Kieni Dispensary (Gatundu),,Central,M/S Ann,,,,,,,y,,10580,,,Ministry of Health,Dispensary,,,
Kiganjo,Kiganjo,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,y,0721-301706,Y,,y,,,y,y,,Gatundu South,,Gatundu,,,Kiganjo Dispensary,,Central,Mrs Wainaina,,,,,,,y,,10581,,,Ministry of Health,Dispensary,,,
Kiganjo,Kiganjo,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,Y,,Y,,Y,,,,,,Gatundu South,,Gatundu,,,Kigongo Medical Clinic,,Central,S.Wainaina,,Y,,,,,,,10585,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ngenda,Kimunyu,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,y,0721-974375,Y,,y,,,,y,,Gatundu South,,Gatundu,,,Kimunyu (PCEA) Dispensary,,Central,Mr Kiama,,,,,,,y,,10612,,,Other Faith Based,Medical Clinic - Nurse/ Midwife,,,
Mangu,Mangu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,,Y,,,,,,,,Kamwangi,,Gatundu,,,Kirathimo Medical Clinic,,Central,,,,,,,,,,10622,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Mangu,Gatukuyu,,,Gatundutown,Operational,GATUNDU NORTH,,,,10100,Y,0734-632716,Y,,Y,,,,,,Kamwangi,,Gatundu,,,Mama Margaret Medical Clinic,,Central,M/S Jecinta Mungai,,Y,,,Y,,,,10676,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Chania,Mataara,,,Gatundutown,Operational,GATUNDU NORTH,,,,10100,Y,0723-047472,Y,,Y,,,,Y,,Kamwangi,,Gatundu,,,Mataara Dispensary,,Central,Mrs Rhoda,,Y,,,,,Y,,10703,Y,,Ministry of Health,Dispensary,,,
Ndarugu,Mbici,,,Gatundutown,Operational,GATUNDU NORTH,,,,10100,,,Y,,y,,,,y,,Kamwangi,,Gatundu,,,Mbici Dispensary,,Central,Mrs T Mburu,,,,,,,y,,10711,,,Ministry of Health,Dispensary,,,
Mangu,Mangu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,,,,,,,,,,Kamwangi,,Gatundu,,,Mukurwe (PCEA) Medical Clinic,,Central,Richard Magondu,,,,,,,,,10760,,,Other Faith Based,Medical Clinic - Nurse/ Midwife,,,
Kiganjo,Mundoro,,,Gatundutown,Operational,GATUNDU SOUTH,,,,10100,Y,0725-914643,Y,,Y,,,,Y,,Gatundu South,,Gatundu,,,Mundoro Medical Clinic,,Central,Stella Kariuki,,Y,,,,,y,,10767,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ndarugu,Munyuini,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,,0722-441952,,,y,,,y,y,,Gatundu South,,Gatundu,,,Munyu-ini Dispensary,,Central,Mrs Betina,,,,,,,y,,10776,,,Ministry of Health,Dispensary,,,
Mangu,Gatukuyu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,,Y,,y,,,,Y,,Kamwangi,,Gatundu,y,,Ndonyero Medical Clinic,,Central,T.Kimuhu,,,,,,,y,,10835,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Kiamwangi,Kiamworia,,,Gatundutown,Operational,UNKNOWN,,,,,,,Y,,,,,,,,Gatundu,,Gatundu,,,Nembu Medical Clinic,,Central,,,,,,,,,,16804,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ngenda,Ngenda,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,,0733-590336,Y,,y,,,y,y,,Gatundu South,,Gatundu,,,Ngenda Health Centre,,Central,M/S Susan Komo,,,,,,,y,,10864,,,Ministry of Health,Health Centre,,,
Chania,Ngorongo,,,Gatundutown,Operational,GATUNDU NORTH,,,,,,0724-585861,Y,,y,,,y,Y,,Kamwangi,y,Gatundu,,,Ngorongo Health Centre,2,Central,Rhoda,,,,,,,Y,10,10872,,,Ministry of Health,Health Centre,,,
Mangu,Gatukuyu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,0736-909950,Y,,,,,,,,Kamwangi,,Gatundu,,,Samkim Medical Clinic,,Central,Mr Gachanja,,,,,,,,,10998,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Kiganjo,Mundoro,,,Gatundutown,Operational,UNKNOWN,,,,,,,Y,,,,,,,,Gatundu,,Gatundu,,,St Ann Medical Clinic,,Central,,,,,,,,,,16805,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Ngenda,Kimunyu,,,Gatundutown,Operational,GATUNDU SOUTH,,,,,Y,0712-383150,Y,,Y,,,,Y,,Gatundu South,,Gatundu,y,,St Gabriel Health Centre,5,Central,Fr Ndugo,,Y,,,,,Y,20,11034,Y,,Other Faith Based,Health Centre,,,
Mangu,Gatukuyu,,,Gatundutown,Operational,GATUNDU NORTH,,,,,Y,0727-701660,Y,,Y,,,,Y,Y,Kamwangi,,Gatundu,Y,,St Triza Medical Clinic,2,Central,Mr M.Kimuhu,Y,Y,,Y,Y,Y,Y,10,11073,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Mangu,Mangu,,,Gatundutown,Operational,GATUNDU NORTH,,,,10100,,0711-839840,Y,,,,,,,,Kamwangi,,Gatundu,,,Wanduta Medical Clinic,,Central,Mrs Teresia Kimani,,,,,,,,,11168,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,,
Tinganga,Tinganga,,,Kiambu,Operational,KIAMBAA,,,,00900,Y,0720-969253,Y,Kiambu,Y,,,Y,Y,,Kiambaa,,Kiambu East,,P.O. Box 39,Anmer Dispensary,,Central,Ann Thuo,,Y,,,,,Y,,10029,Y,,Ministry of Health,Dispensary,,-1.19211541321965,36.7700708438897
Githunguri,Githunguri,,,Githunguri,Operational,GITHUNGURI,,,,,Y,0721-731864,Y,,Y,,,,Y,,Githunguri,,Kiambu East,,,Beta Care Nursing Home,,Central,Karani,,Y,,,,,Y,,10058,Y,,Private Medical Enterprise,Nursing home with Maternity,,-1.08805007901969,36.8496343301852
Kiambaa,Kiambaa,,,Kiambu,Operational,KIAMBAA,,,,,,,Y,,,,,,,,Kiambaa,,Kiambu East,,,Bl Palazzolo Dispensary,,Central,Sr Ann,,,,,,,,,10072,,,Other Faith Based,Dispensary,,-1.19211541321965,36.7700708438897
Cianda,Cianda,,,Kiambu,Operational,KIAMBAA,,,,OO9OO,Y,,Y,Kiambu,Y,,,Y,Y,,Kiambaa,,Kiambu East,,P.O. Box 39,Cianda Dispensary,,Central,Rose Macharia,,Y,,,Y,,Y,,10097,Y,,Ministry of Health,Dispensary,,-1.19211541321965,36.7700708438897
Gathanga,Gathanga,,,Kiambu,Operational,KIAMBAA,,061-2030382,,OO9OO,Y,,Y,Kiambu,Y,Y,,Y,Y,Y,Kiambaa,,Kiambu East,Y,P.O. Box 39,Gathanga Dispensary,,Central,Lucy Ngunu,Y,Y,,Y,Y,Y,Y,,10214,Y,,Ministry of Health,Dispensary,,-1.19211541321965,36.7700708438897
Komothai,Gathiruini,,,Githunguri,Operational,GITHUNGURI,,,,,Y,,Y,,Y,,,,,,Githunguri,,Kiambu East,,,Gathiruini (PCEA) Dispensary,,Central,Nancy Njogu,,,,,,,,,10219,,,Other Faith Based,Dispensary,,-1.08805007901969,36.8496343301852
Githiga,Githiga,,,Githunguri,Operational,GITHUNGURI,,,,OO9OO,Y,,Y,Kiambu,Y,,,Y,Y,,Githunguri,Y,Kiambu East,,P.O. Box 39,Githiga Health Centre,,Central,Mbuti,,Y,,,Y,,Y,16,10263,Y,,Ministry of Health,Health Centre,,-1.08805007901969,36.8496343301852
Githiga,Githiga,,,Githunguri,Operational,GITHUNGURI,,,,,,,Y,,,,,,,,Githunguri,,Kiambu East,,,Githiga Midways Clinic,,Central,Wanjema,,,,,,,,,10264,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,-1.08805007901969,36.8496343301852
Githunguri,Githunguri,,,Githunguri,Operational,GITHUNGURI,,,,OO9OO,,,Y,Kiambu,,,,,,,Githunguri,,Kiambu East,,P.O. Box 39,Githunguri Health Centre,,Central,Jane Kimani,,,,,,,,10,10269,,,Ministry of Health,Health Centre,,-1.08805007901969,36.8496343301852
Githunguri,Githunguri,,,Githunguri,Operational,GITHUNGURI,,,,,Y,,Y,,,,,,,,Githunguri,,Kiambu East,,,Githunguri Health Services Clinic,,Central,T Kanyagia,,,,,,,,,10270,,,Private Medical Enterprise,Medical Clinic - Clinical officer,,-1.08805007901969,36.8496343301852
Githunguri,Githunguri,,,Githunguri,Operational,GITHUNGURI,,,,,,,Y,,,,,,,,Githunguri,,Kiambu East,,,Githunguri Heathwatch Clinic,,Central,Kamau,,,,,,,,,10271,,,Private Medical Enterprise,Medical Clinic - General practitioner,,-1.08805007901969,36.8496343301852
Githunguri,Githunguri,,,Githunguri,Operational,GITHUNGURI,,,,,,,Y,,,,,,,,Githunguri,,Kiambu East,,,Githunguri Medical Plaza Clinic,,Central,R Njoroge,,,,,,,,,10272,,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,-1.08805007901969,36.8496343301852
Gitiha,Gitiha,,,Githunguri,Operational,GITHUNGURI,,,,OO9OO,,,Y,Kiambu,,,,Y,,,Githunguri,,Kiambu East,,P.O. Box 39,Gitiha Dispensary,,Central,Jane Kingoi,,Y,,,,,Y,,10275,Y,,Ministry of Health,Dispensary,,-1.08805007901969,36.8496343301852
Settled Area,Township,,,Kiambu,Operational,KIAMBAA,,,,,Y,,Y,,,,,,Y,,Kiambaa,,Kiambu East,,,GK Prisons Dispensary (Kiambu East),,Central,,,Y,,,Y,,Y,,10290,Y,,Ministry of Health,Dispensary,,-1.19211541321965,36.7700708438897
Ikinu,Ikinu,,,Githunguri,Operational,GITHUNGURI,,,,,Y,,Y,,,,,,,,Githunguri,,Kiambu East,,,Holy Rosary Ikinu Dispensary,,Central,Fr Kauta,,,,,,,,,10322,,,Other Faith Based,Dispensary,,-1.08805007901969,36.8496343301852
Kimathi,Kambui,,,Githunguri,Operational,GITHUNGURI,,,,,,,Y,,,,,,,,Githunguri,,Kiambu East,,,Kambui (PCEA) Dispensary,,Central,Njogu,,,,,,,,,10446,,,Other Faith Based,Dispensary,,-1.08805007901969,36.8496343301852
Ikinu,Karia,,,Githunguri,Operational,GITHUNGURI,,,,OO9OO,,,Y,Kiambu,,,,,,,Githunguri,,Kiambu East,,P.O. Box 39,Karia Health Centre,,Central,Ndichu,,,,,,,,,10493,,,Ministry of Health,Health Centre,,-1.08805007901969,36.8496343301852
Kihara,Gacii,,,Nairobi,Operational,KIAMBAA,,,,,Y,,Y,,Y,,,Y,Y,,Kiambaa,,Kiambu East,,,Karura (SDA) Dispensary,,Central,,,Y,,,,,Y,,10506,Y,,Other Faith Based,Dispensary,,-1.19211541321965,36.7700708438897
Kiambaa,Karuri,,,Kiambu,Operational,KIAMBAA,,,,OO9OO,,,Y,Kiambu,,,,,,,Kiambaa,Y,Kiambu East,,P.O. Box 39,Karuri Health Centre,1,Central,Musembi,,,,,,,,18,10507,,,Ministry of Health,Health Centre,,-1.19211541321965,36.7700708438897
Settled Area,Township,,,Kiambu,Operational,KIAMBAA,,,,OO9OO,Y,,Y,Kiambu,Y,,,Y,Y,,Kiambaa,Y,Kiambu East,,P.O. Box 39,Kiambu District Hospital,67,Central,Dr Patrick Amoth,,Y,,,Y,,Y,316,10539,Y,,Ministry of Health,Primary Hospital,,-1.19211541321965,36.7700708438897
Settled Area,Township,,,Kiambu,Operational,KIAMBAA,,,,,,,Y,,,,,,,,Kiambaa,,Kiambu East,,,Kiambu Institute Of Science And Technology Dispensary,,Central,Mary Muraguri,,,,,,,,,10540,,,Other Public Institution,Medical Clinic - Nurse/ Midwife,,-1.19211541321965,36.7700708438897
Kiambaa,Kanunga,,,Kiambu,Operational,KIAMBAA,,,,,,,Y,,,,,,,,Kiambaa,,Kiambu East,,,Kibubuti Dispensary,,Central,,,,,,,,,,10573,,,Company Medical Service,Medical Clinic - Nurse/ Midwife,,-1.19211541321965,36.7700708438897
Komothai,Kigumo,,,Githunguri,Operational,GITHUNGURI,,,,OO9OO,,,Y,Kiambu,,,,,,,Githunguri,Y,Kiambu East,,P.O. Box 39,Kigumo Health Centre (Kiambu East),,Central,Njau,,,,,,,,16,10587,,,Ministry of Health,Health Centre,,-1.08805007901969,36.8496343301852
Kihara,Gacii,,,Nairobi,Operational,KIAMBAA,,,,OO9OO,Y,,Y,Kiambu,Y,,,,Y,,Kiambaa,Y,Kiambu East,,P.O. Box 39,Kihara Sub-District Hospital,,Central,Dr Macharia,,Y,,,,,Y,84,10591,Y,,Ministry of Health,Primary Hospital,,-1.19211541321965,36.7700708438897
Ngewa,Miguta,,,Githunguri,Operational,GITHUNGURI,,,,OO9OO,Y,,Y,Kiambu,Y,,,Y,Y,,Githunguri,,Kiambu East,,P.O. Box 39,Miguta Dispensary,,Central,Rachael Heta,,Y,,,,,Y,,10726,Y,,Ministry of Health,Dispensary,,-1.08805007901969,36.8496343301852
Githunguri,Githunguri,,,Githunguri,Operational,GITHUNGURI,,,,,Y,,Y,,Y,Y,,Y,Y,,Githunguri,,Kiambu East,Y,,Monica Clinic,,Central,Monica Gitiha,Y,Y,Y,Y,Y,,Y,,10734,Y,,Private Medical Enterprise,Medical Clinic - Nurse/ Midwife,,-1.08805007901969,36.8496343301852
Ngewa,Nyaga,,,Githunguri,Operational,GITHUNGURI,,,,OO9OO,,,Y,Kiambu,,,,,,,Githunguri,Y,Kiambu East,,P.O. Box 39,Ngewa Health Centre,,Central,Kahuthia Munene,,,,,,,Y,16,10865,,,Ministry of Health,Health Centre,,-1.08805007901969,36.8496343301852
Riabai,Riabai,,,Kiambu,Operational,KIAMBAA,,,,,Y,,Y,,,,,,,,Kiambaa,,Kiambu East,Y,,Riabai Dispensary,,Central,Juliet,,Y,,,,,,,10957,,,Community,Dispensary,,-1.19211541321965,36.7700708438897
Kiambaa,Thimbigua,,,Kiambu,Operational,KIAMBAA,,,,,Y,,Y,,,,,,,,Kiambaa,,Kiambu East,,,Sacred Heart Dispensary,,Central,Sr Nancy,,,,,,,,,10988,,,Other Faith Based,Dispensary,,-1.19211541321965,36.7700708438897
Ikinu,Lioki,,,Kiambu,Operational,GITHUNGURI,,,,,,,,,,,,,,,Githunguri,,Kiambu East,,,St Ann Lioki Dispensary,,Central,,,,,,,,,,11023,,,Other Faith Based,Dispensary,,-1.08805007901969,36.8496343301852
Ndumberi,Tinganga,,,Kiambu,Operational,KIAMBAA,,,,,,,,,,,,,,,Kiambaa,,Kiambu East,,,Tinganga (PCEA) Dispensary,,Central,,,,,,,,,,11107,,,Other Faith Based,Dispensary,,-1.19211541321965,36.7700708438897
Lari,Lari,N,,Lari,Operational,LARI,,,,,Y,,Y,,Y,Y,,N,Y,N,Lari,N,Kiambu West,N,,Ahadi Maternity Dispensary,0,Central,,N,Y,N,N,Y,N,Y,0,10018,Y,N,Private Medical Enterprise,Dispensary,N,-1.04916574553772,36.6131215854211
Kijabe,Bathi,N,,Magina,Operational,LARI,,,,221,Y,,Y,MATATHIA,Y,Y,,N,Y,N,Lari,N,Kiambu West,N,P.O. Box 103,Bathi Faith (ACK) Medical Dispensary,0,Central,E Karanja,N,Y,N,N,Y,N,Y,0,10050,Y,N,Christian Health Association of Kenya,Dispensary,Y,-1.04916574553772,36.6131215854211
Limuru,Bibirioni,N,,Murengeti,Operational,LARI,,,,217,Y,,Y,LIMURU,Y,Y,,N,Y,N,Lari,N,Kiambu West,N,P.O. Box 1468,Bibirioni Health Centre,0,Central,Dominic Mburu Wairegi,N,Y,N,N,Y,N,Y,0,10069,Y,N,Other Faith Based,Health Centre,Y,-1.04916574553772,36.6131215854211
Kabete,Chura,N,,Kabete,Operational,KABETE,,,,,Y,,Y,,Y,Y,,N,Y,N,Kikuyu,N,Kiambu West,N,,Chura Medical Clinic.,0,Central,,N,N,N,N,N,N,Y,0,10095,N,N,Private Medical Enterprise,Medical Clinic - Other,N,-1.25578762613122,36.6491353475401
Kabete,Cura,N,,Wangige,Operational,KABETE,,,,902,Y,,Y,KIKUYU,Y,Y,,N,Y,N,Kikuyu,N,Kiambu West,N,P.O. Box 79,Cura (ACK) Medical Clinic,0,Central,Margaret Wangari Mungai,N,Y,N,N,Y,N,N,0,10102,Y,N,Christian Health Association of Kenya,Medical Clinic - Other,N,-1.25578762613122,36.6491353475401
Limuru,Bibirioni,N,,Bibirioni,Operational,LIMURU,,,,217,Y,,Y,LIMURU,N,Y,,N,Y,N,Limuru,N,Kiambu West,N,P.O. Box 1293,Dommy Medical Clinic,0,Central,Domitirus Wainaina,N,Y,N,N,Y,N,Y,0,10111,Y,N,Private Medical Enterprise,Medical Clinic - Other,Y,-1.11542591699049,36.637106069531
Lari,Lari,N,,Uplands,Operational,LIMURU,,,,222,Y,,Y,UPLANDS,Y,N,,N,Y,N,Lari,N,Kiambu West,N,P.O. Box 258,Ebenezer Medical Clinic (Kiambu West),0,Central,Mary Wambui Kihuna,N,Y,N,N,Y,N,Y,1,10158,Y,N,Private Medical Enterprise,Medical Clinic - Other,N,-1.04916574553772,36.6131215854211
Kikuyu,Nderi,N,,Kikuyu,Operational,KABETE,,,,217,Y,,Y,LIMURU,Y,Y,,Y,Y,N,Kikuyu,N,Kiambu West,N,P.O. Box 124,Gichuru Dispensary,0,Central,Lucy W Ngeru,N,Y,N,N,Y,N,Y,1,10252,Y,N,Ministry of Health,Dispensary,Y,-1.25578762613122,36.6491353475401
Lari,Githirioni,N,,Githirioni,Operational,LARI,,,,217,Y,,Y,LIMURU,N,N,,N,N,N,Lari,N,Kiambu West,N,P.O. Box 124,Githirioni Dispensary,0,Central,Edison N Mwakuni,N,N,N,N,N,N,Y,0,10265,N,N,Ministry of Health,Dispensary,N,-1.04916574553772,36.6131215854211
Ndeiya,Thigio,N,,Thigio,Operational,LARI,,,,217,N,,Y,LIMURU,N,Y,,N,N,N,Limuru,N,Kiambu West,N,P.O. Box 705,Holy Cross Thigio Dispensary,0,Central,Sr Evelene,N,N,Y,N,Y,N,Y,0,10321,N,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,Y,-1.11542591699049,36.637106069531
Limuru,Limuru,N,,Limuru,Operational,LIMURU,,,,,Y,,Y,,Y,Y,,N,Y,N,Limuru,N,Kiambu West,N,,Imani Clinic (Kiambu West),3,Central,Winnie Karori,N,N,N,N,Y,N,Y,1,10345,Y,N,Private Medical Enterprise,Medical Clinic - Other,N,-1.11542591699049,36.637106069531
Kijabe,Lari,N,,Kimende,Operational,LARI,,,,221,Y,,Y,MATATHIA,Y,Y,,N,Y,N,Lari,N,Kiambu West,N,P.O. Box 64,Immanuel Medical Clinic,0,Central,Esther Njuguna,N,Y,N,N,N,N,Y,0,10351,Y,N,Private Medical Enterprise,Medical Clinic - Other,N,-1.04916574553772,36.6131215854211
Kamburu,Kagaa,N,,Kagaa,Operational,LARI,,,,217,Y,,Y,LIMURU,Y,Y,,N,Y,N,Lari,N,Kiambu West,N,P.O. Box 124,Kagaa Dispensary,2,Central,Rose Nyokabi Waweru,N,N,N,N,Y,N,Y,10,10394,Y,N,Ministry of Health,Dispensary,N,-1.04916574553772,36.6131215854211
Gatamiyo,Kagwe,N,,Kagwe,Operational,LARI,,,,900,Y,,Y,KIAMBU,Y,N,,N,N,N,Lari,N,Kiambu West,N,P.O. Box 450,Kagwe Catholic Dispensary,0,Central,Sr Clara,N,N,N,N,N,N,Y,0,10412,Y,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,N,-1.04916574553772,36.6131215854211
Lari,Kagwe,N,,Kagwe,Operational,LARI,,,,217,Y,,Y,LIMURU,Y,Y,,Y,Y,N,Lari,N,Kiambu West,N,P.O. Box 124,Kagwe Dispensary,0,Central,Njihia,N,Y,N,N,Y,N,Y,2,10413,Y,N,Ministry of Health,Dispensary,N,-1.04916574553772,36.6131215854211
